"id","title","sourceName","section","category","sizeBytes","sizeMB","priority","excluded","excludeReason","downloadUrl","previewUrl","status"
"note-0012","06.语法分析_形式语言基础-文法与语言、文法的分类、文法相关概念","06.语法分析_形式语言基础-文法与语言、文法的分类、文法相关概念_44355225-3e06-4a1b-b632-c5481116b1cf","学习笔记","编译原理","1722641","1.64","2","True","编译原理相关，按要求不上传","","","excluded"
"note-0034","07.语法分析_形式语言基础 - 语法树、二义文法、文法变换","07.语法分析_形式语言基础 - 语法树、二义文法、文法变换_66f7b1e1-0ebc-4c5c-9624-bc6b51fc6f3f","学习笔记","编译原理","938412","0.89","2","True","编译原理相关，按要求不上传","","","excluded"
"note-0043","11.语法分析_自底向上分析概述","11.语法分析_自底向上分析概述_142945bf-1f86-488b-9562-fef3bc0a2623","学习笔记","编译原理","571876","0.55","2","True","编译原理相关，按要求不上传","","","excluded"
"note-0082","10.语法分析_递归下降法","10.语法分析_递归下降法_0f710ff4-21bb-4445-9dc6-0ff27c9b21c9","学习笔记","编译原理","956632","0.91","2","True","编译原理相关，按要求不上传","","","excluded"
"note-0198","02.词法分析___词法分析的功能、词法分析程序的工作过程、正则表达式","02.词法分析___词法分析的功能、词法分析程序的工作过程、正则表达式_91a71c74-baa8-47a5-a210-c89e90462fbc","学习笔记","编译原理","700153","0.67","2","True","编译原理相关，按要求不上传","","","excluded"
"note-0329","09.语法分析_LL(1)语法分析","09.语法分析_LL(1)语法分析_1fa76f78-413e-4de5-ba8c-3a5efd7220ca","学习笔记","编译原理","1284978","1.23","2","True","编译原理相关，按要求不上传","","","excluded"
"note-0344","03.词法分析__DFA","03.词法分析__DFA_2f44e845-f913-4462-bf30-648136a42d7e","学习笔记","编译原理","1376178","1.31","2","True","编译原理相关，按要求不上传","","","excluded"
"note-0591","05.词法分析__自动机与正则表达式、词法分析器的设计","05.词法分析__自动机与正则表达式、词法分析器的设计_41400745-66b0-45e1-b394-9c6914035ce5","学习笔记","编译原理","2241435","2.14","2","True","编译原理相关，按要求不上传","","","excluded"
"note-0667","04.词法分析__NFA与最小化","04.词法分析__NFA与最小化_e08717b2-db4b-4086-8270-a7a53d990cc8","学习笔记","编译原理","2202399","2.1","2","True","编译原理相关，按要求不上传","","","excluded"
"note-0711","08.语法分析_自顶向下语法分析概述","08.语法分析_自顶向下语法分析概述_c75f24f9-5542-4226-91b0-dcab1b9634ab","学习笔记","编译原理","2276449","2.17","2","True","编译原理相关，按要求不上传","","","excluded"
